County,avg_price_2015,avg_price_2025,absolute_growth,pct_growth
Longford,72440.0,207969.0,135529.0,187.1
Westmeath,118793.0,325930.0,207138.0,174.4
Roscommon,82138.0,215922.0,133784.0,162.9
Cavan,95989.0,251903.0,155914.0,162.4
Clare,124525.0,313128.0,188603.0,151.5
Leitrim,89902.0,220569.0,130667.0,145.3
Offaly,112410.0,274347.0,161937.0,144.1
Laois,128642.0,309471.0,180829.0,140.6
Waterford,130365.0,313107.0,182742.0,140.2
Wexford,133717.0,320233.0,186516.0,139.5
Limerick,138148.0,329093.0,190945.0,138.2
Carlow,128376.0,290245.0,161869.0,126.1
Louth,144916.0,327667.0,182751.0,126.1
Kerry,139571.0,311307.0,171736.0,123.0
Monaghan,113275.0,252540.0,139265.0,122.9
Galway,169681.0,369351.0,199670.0,117.7
Sligo,125128.0,272058.0,146930.0,117.4
Mayo,109941.0,238150.0,128209.0,116.6
Tipperary,123409.0,267249.0,143840.0,116.6
Kilkenny,167182.0,348363.0,181181.0,108.4
Donegal,104684.0,214164.0,109480.0,104.6
Cork,190189.0,377316.0,187127.0,98.4
Meath,213627.0,401399.0,187772.0,87.9
Kildare,236407.0,431198.0,194792.0,82.4
Wicklow,289686.0,490065.0,200379.0,69.2
Dublin,349430.0,578055.0,228626.0,65.4
