County,total_transactions,avg_price,price_rank
Dublin,235429,443132.0,1
Wicklow,25382,381749.0,2
Kildare,39786,320194.0,3
Meath,32067,291689.0,4
Cork,82350,269184.0,5
Galway,36458,251591.0,6
Kilkenny,11646,235888.0,7
Louth,20884,230878.0,8
Limerick,27934,212007.0,9
Wexford,25843,210414.0,10
Waterford,20202,207757.0,11
Laois,12277,205551.0,12
Kerry,20151,204505.0,13
Westmeath,14229,200220.0,14
Clare,17093,198825.0,15
Carlow,8026,195348.0,16
Offaly,9312,183818.0,17
Tipperary,19507,175975.0,18
Sligo,11136,172393.0,19
Monaghan,5653,167203.0,20
Mayo,18096,162140.0,21
Cavan,11344,154458.0,22
Donegal,19809,147180.0,23
Roscommon,10631,137296.0,24
Leitrim,6681,131525.0,25
Longford,6125,128803.0,26
