Year,County,avg_price,transactions,rank_in_year
2010,Dublin,331272.0,6636,1
2010,Wicklow,298994.0,689,2
2010,Kildare,244517.0,1007,3
2011,Dublin,313264.0,5576,1
2011,Wicklow,254844.0,541,2
2011,Kildare,229027.0,769,3
2012,Dublin,284779.0,8360,1
2012,Wicklow,238435.0,720,2
2012,Kildare,192904.0,1030,3
2013,Dublin,304071.0,9931,1
2013,Wicklow,250977.0,921,2
2013,Kildare,203026.0,1284,3
2014,Dublin,337255.0,13798,1
2014,Wicklow,265523.0,1310,2
2014,Kildare,226510.0,1830,3
2015,Dublin,349430.0,14787,1
2015,Wicklow,289686.0,1367,2
2015,Kildare,236407.0,2200,3
2016,Dublin,385361.0,15222,1
2016,Wicklow,314213.0,1393,2
2016,Kildare,255479.0,2163,3
2017,Dublin,416960.0,17134,1
2017,Wicklow,334568.0,1616,2
2017,Kildare,269163.0,2684,3
2018,Dublin,432546.0,17756,1
2018,Wicklow,342020.0,1533,2
2018,Kildare,291669.0,2785,3
2019,Dublin,429181.0,17431,1
2019,Wicklow,346568.0,1842,2
2019,Kildare,300893.0,3108,3
2020,Dublin,442299.0,14166,1
2020,Wicklow,362961.0,1641,2
2020,Kildare,311767.0,2571,3
2021,Dublin,485975.0,16459,1
2021,Wicklow,426355.0,2053,2
2021,Kildare,338165.0,3258,3
2022,Dublin,515295.0,17650,1
2022,Wicklow,457291.0,2073,2
2022,Kildare,360390.0,3710,3
2023,Dublin,521589.0,18010,1
2023,Wicklow,444182.0,2215,2
2023,Kildare,381732.0,3904,3
2024,Dublin,554947.0,18092,1
2024,Wicklow,467932.0,2504,2
2024,Kildare,408941.0,3057,3
2025,Dublin,578055.0,18395,1
2025,Wicklow,490065.0,2265,2
2025,Kildare,431198.0,3275,3
2026,Dublin,591104.0,6026,1
2026,Wicklow,534350.0,699,2
2026,Kildare,440878.0,1151,3
